action,module_idx,num_modules,cold_start_time,exec_time,input_shape,input_bytes,file_size
cold_start,0,37,0.014494895935058594,0.00046324729919433594,"[1, 3, 518, 518]",3219888,3018399
cold_start,1,37,0.001047372817993164,3.981590270996094e-05,"[1, 1280, 37, 37]",7009280,1887
cold_start,2,37,0.2030797004699707,0.001117706298828125,"[1369, 1, 1280]",7009280,78728748
cold_start,3,37,0.1720428466796875,0.0009508132934570312,"[1369, 1, 1280]",7009280,78732174
cold_start,4,37,0.17118525505065918,0.0009610652923583984,"[1369, 1, 1280]",7009280,78732174
cold_start,5,37,0.15708017349243164,0.0009248256683349609,"[1369, 1, 1280]",7009280,78732174
cold_start,6,37,0.17154622077941895,0.0009560585021972656,"[1369, 1, 1280]",7009280,78732180
cold_start,7,37,0.1720287799835205,0.0009222030639648438,"[1369, 1, 1280]",7009280,78732198
cold_start,8,37,0.198760986328125,0.0010020732879638672,"[1369, 1, 1280]",7009280,78732198
cold_start,9,37,0.15709996223449707,0.0012493133544921875,"[1369, 1, 1280]",7009280,78732198
cold_start,10,37,0.18285775184631348,0.0009372234344482422,"[1369, 1, 1280]",7009280,78732239
cold_start,11,37,0.18635869026184082,0.001102447509765625,"[1369, 1, 1280]",7009280,78732239
cold_start,12,37,0.1840054988861084,0.001016855239868164,"[1369, 1, 1280]",7009280,78732239
cold_start,13,37,0.1575181484222412,0.0009524822235107422,"[1369, 1, 1280]",7009280,78732239
cold_start,14,37,0.18499350547790527,0.00095367431640625,"[1369, 1, 1280]",7009280,78732239
cold_start,15,37,0.1713852882385254,0.0009131431579589844,"[1369, 1, 1280]",7009280,78732239
cold_start,16,37,0.17194819450378418,0.0009260177612304688,"[1369, 1, 1280]",7009280,78732239
cold_start,17,37,0.15677499771118164,0.0009207725524902344,"[1369, 1, 1280]",7009280,78732239
cold_start,18,37,0.1591024398803711,0.0009596347808837891,"[1369, 1, 1280]",7009280,78732239
cold_start,19,37,0.15670323371887207,0.0009391307830810547,"[1369, 1, 1280]",7009280,78732239
cold_start,20,37,0.1586010456085205,0.0009212493896484375,"[1369, 1, 1280]",7009280,78732239
cold_start,21,37,0.169785737991333,0.0009188652038574219,"[1369, 1, 1280]",7009280,78732239
cold_start,22,37,0.1781773567199707,0.0010058879852294922,"[1369, 1, 1280]",7009280,78732239
cold_start,23,37,0.17495417594909668,0.0009136199951171875,"[1369, 1, 1280]",7009280,78732239
cold_start,24,37,0.15691328048706055,0.0011553764343261719,"[1369, 1, 1280]",7009280,78732239
cold_start,25,37,0.15645074844360352,0.0009331703186035156,"[1369, 1, 1280]",7009280,78732239
cold_start,26,37,0.1702728271484375,0.0009272098541259766,"[1369, 1, 1280]",7009280,78732239
cold_start,27,37,0.16976261138916016,0.0009207725524902344,"[1369, 1, 1280]",7009280,78732239
cold_start,28,37,0.1562671661376953,0.0009143352508544922,"[1369, 1, 1280]",7009280,78732239
cold_start,29,37,0.15931439399719238,0.0010533332824707031,"[1369, 1, 1280]",7009280,78732239
cold_start,30,37,0.18242669105529785,0.0009167194366455078,"[1369, 1, 1280]",7009280,78732239
cold_start,31,37,0.18233513832092285,0.000911712646484375,"[1369, 1, 1280]",7009280,78732239
cold_start,32,37,0.1565415859222412,0.0009188652038574219,"[1369, 1, 1280]",7009280,78732239
cold_start,33,37,0.1829972267150879,0.0009577274322509766,"[1369, 1, 1280]",7009280,78732239
cold_start,34,37,0.0008938312530517578,6.67572021484375e-05,"[1369, 1, 1280]",7009280,12960
cold_start,35,37,0.0005743503570556641,6.67572021484375e-06,"[1369, 1, 1280]",7009280,1506
cold_start,36,37,0.005365848541259766,0.0001728534698486328,"[1, 1280]",5120,5126546
cold_start,0,37,0.003537416458129883,0.00047707557678222656,"[1, 3, 518, 518]",3219888,3018567
cold_start,1,37,0.0007660388946533203,2.0503997802734375e-05,"[1, 1280, 37, 37]",7009280,1991
cold_start,2,37,0.11228680610656738,0.0009453296661376953,"[1369, 1, 1280]",7009280,78732198
cold_start,3,37,0.07642698287963867,0.0009324550628662109,"[1369, 1, 1280]",7009280,78732198
cold_start,4,37,0.0818791389465332,0.0009448528289794922,"[1369, 1, 1280]",7009280,78732198
cold_start,5,37,0.07625365257263184,0.0009517669677734375,"[1369, 1, 1280]",7009280,78732198
cold_start,6,37,0.0763697624206543,0.0009350776672363281,"[1369, 1, 1280]",7009280,78732198
cold_start,7,37,0.07647991180419922,0.0009360313415527344,"[1369, 1, 1280]",7009280,78732198
cold_start,8,37,0.07634949684143066,0.0009789466857910156,"[1369, 1, 1280]",7009280,78732198
cold_start,9,37,0.08195853233337402,0.0009458065032958984,"[1369, 1, 1280]",7009280,78732198
cold_start,10,37,0.07712841033935547,0.0009796619415283203,"[1369, 1, 1280]",7009280,78732239
cold_start,11,37,0.07677412033081055,0.0009455680847167969,"[1369, 1, 1280]",7009280,78732239
cold_start,12,37,0.07677078247070312,0.0009806156158447266,"[1369, 1, 1280]",7009280,78732263
cold_start,13,37,0.07669782638549805,0.0009450912475585938,"[1369, 1, 1280]",7009280,78732263
cold_start,14,37,0.07657241821289062,0.0009322166442871094,"[1369, 1, 1280]",7009280,78732263
cold_start,15,37,0.0895836353302002,0.0009465217590332031,"[1369, 1, 1280]",7009280,78732263
cold_start,16,37,0.08960103988647461,0.0009310245513916016,"[1369, 1, 1280]",7009280,78732263
cold_start,17,37,0.08966875076293945,0.0009324550628662109,"[1369, 1, 1280]",7009280,78732263
cold_start,18,37,0.10224056243896484,0.0009520053863525391,"[1369, 1, 1280]",7009280,78732263
cold_start,19,37,0.1027524471282959,0.0009751319885253906,"[1369, 1, 1280]",7009280,78732263
cold_start,20,37,0.08964848518371582,0.0009720325469970703,"[1369, 1, 1280]",7009280,78732263
cold_start,21,37,0.10253548622131348,0.0009331703186035156,"[1369, 1, 1280]",7009280,78732263
cold_start,22,37,0.10239386558532715,0.0009434223175048828,"[1369, 1, 1280]",7009280,78732263
cold_start,23,37,0.09028792381286621,0.0009529590606689453,"[1369, 1, 1280]",7009280,78732263
cold_start,24,37,0.09180140495300293,0.0009462833404541016,"[1369, 1, 1280]",7009280,78732263
cold_start,25,37,0.1026768684387207,0.0009262561798095703,"[1369, 1, 1280]",7009280,78732263
cold_start,26,37,0.08974909782409668,0.0009424686431884766,"[1369, 1, 1280]",7009280,78732263
cold_start,27,37,0.0769045352935791,0.0009684562683105469,"[1369, 1, 1280]",7009280,78732263
cold_start,28,37,0.09001708030700684,0.0009567737579345703,"[1369, 1, 1280]",7009280,78732263
cold_start,29,37,0.12186598777770996,0.0010190010070800781,"[1369, 1, 1280]",7009280,78732263
cold_start,30,37,0.09008002281188965,0.0009419918060302734,"[1369, 1, 1280]",7009280,78732263
cold_start,31,37,0.0900566577911377,0.0009357929229736328,"[1369, 1, 1280]",7009280,78732263
cold_start,32,37,0.07696270942687988,0.0009407997131347656,"[1369, 1, 1280]",7009280,78732263
cold_start,33,37,0.07711195945739746,0.0009467601776123047,"[1369, 1, 1280]",7009280,78732263
cold_start,34,37,0.0008857250213623047,0.00020599365234375,"[1369, 1, 1280]",7009280,12962
cold_start,35,37,0.0007970333099365234,1.9073486328125e-05,"[1369, 1, 1280]",7009280,1548
cold_start,36,37,0.007385969161987305,0.00017571449279785156,"[1, 1280]",5120,5126548
cold_start,0,37,0.00609588623046875,0.0004892349243164062,"[1, 3, 518, 518]",3219888,3018569
cold_start,1,37,0.0007941722869873047,5.8650970458984375e-05,"[1, 1280, 37, 37]",7009280,1993
cold_start,2,37,0.10003376007080078,0.0009617805480957031,"[1369, 1, 1280]",7009280,78732222
cold_start,3,37,0.0794675350189209,0.0009348392486572266,"[1369, 1, 1280]",7009280,78732222
cold_start,4,37,0.0760505199432373,0.0009555816650390625,"[1369, 1, 1280]",7009280,78732222
cold_start,5,37,0.07618165016174316,0.0009551048278808594,"[1369, 1, 1280]",7009280,78732222
cold_start,6,37,0.08431243896484375,0.0009210109710693359,"[1369, 1, 1280]",7009280,78732222
cold_start,7,37,0.07607316970825195,0.0009472370147705078,"[1369, 1, 1280]",7009280,78732222
cold_start,8,37,0.07607412338256836,0.0009377002716064453,"[1369, 1, 1280]",7009280,78732222
cold_start,9,37,0.0827631950378418,0.0009202957153320312,"[1369, 1, 1280]",7009280,78732222
cold_start,10,37,0.08359837532043457,0.0009355545043945312,"[1369, 1, 1280]",7009280,78732263
cold_start,11,37,0.09311366081237793,0.0011944770812988281,"[1369, 1, 1280]",7009280,78732263
cold_start,12,37,0.08375358581542969,0.0009272098541259766,"[1369, 1, 1280]",7009280,78732263
