action,module_idx,num_modules,cold_start_time,exec_time,input_shape,input_bytes,file_size
cold_start,0,5,0.0496678352355957,0.0004932880401611328,[1],72,15644313
cold_start,1,5,0.0042171478271484375,0.0003638267517089844,[1],72,2116038
cold_start,2,5,2.068056344985962,0.0019745826721191406,[1],72,805546637
cold_start,3,5,0.16814184188842773,0.00019121170043945312,[1],72,67127852
cold_start,4,5,0.0006427764892578125,0.0001385211944580078,[1],72,1854
cold_start,0,5,0.039569854736328125,0.0004265308380126953,[1],72,15644661
cold_start,1,5,0.00275421142578125,0.0002739429473876953,[1],72,2116140
cold_start,2,5,1.9854700565338135,0.0015685558319091797,[1],72,805549657
cold_start,3,5,0.1731712818145752,0.00018548965454101562,[1],72,67127852
cold_start,4,5,0.0007240772247314453,0.0001392364501953125,[1],72,1956
cold_start,0,5,0.039778709411621094,0.0003654956817626953,[1],72,15644725
cold_start,1,5,0.0025975704193115234,0.0002789497375488281,[1],72,2116142
cold_start,2,5,1.9906690120697021,0.00144195556640625,[1],72,805549689
cold_start,3,5,0.1918165683746338,0.0002536773681640625,[1],72,67127854
cold_start,4,5,0.0008132457733154297,0.00013899803161621094,[1],72,2022
cold_start,0,5,0.039633989334106445,0.0004203319549560547,[1],72,15644737
cold_start,1,5,0.0026330947875976562,0.00020575523376464844,[1],72,2116142
cold_start,2,5,1.9780282974243164,0.001577138900756836,[1],72,805549689
cold_start,3,5,0.16605925559997559,0.0001895427703857422,[1],72,67127854
cold_start,4,5,0.0009872913360595703,0.00013780593872070312,[1],72,2022
cold_start,0,5,0.039388418197631836,0.0003669261932373047,[1],72,15644737
cold_start,1,5,0.0026628971099853516,0.00012874603271484375,[1],72,2116142
cold_start,2,5,1.9813580513000488,0.0016036033630371094,[1],72,805549689
cold_start,3,5,0.16520166397094727,0.00019097328186035156,[1],72,67127854
cold_start,4,5,0.0007531642913818359,0.0001246929168701172,[1],72,2022
cold_start,0,5,0.0391392707824707,0.0004436969757080078,[1],72,15644737
cold_start,1,5,0.002469301223754883,0.00028967857360839844,[1],72,2116142
cold_start,2,5,1.976783275604248,0.0013856887817382812,[1],72,805549689
cold_start,3,5,0.16521644592285156,0.00018978118896484375,[1],72,67127854
cold_start,4,5,0.0006268024444580078,5.745887756347656e-05,[1],72,2022
cold_start,0,5,0.0388178825378418,0.0004298686981201172,[1],72,15644737
cold_start,1,5,0.002771139144897461,0.00013899803161621094,[1],72,2116142
cold_start,2,5,1.9732987880706787,0.0017588138580322266,[1],72,805549689
cold_start,3,5,0.1653759479522705,0.00018405914306640625,[1],72,67127854
cold_start,4,5,0.0007386207580566406,0.000152587890625,[1],72,2022
cold_start,0,5,0.03876805305480957,0.00036072731018066406,[1],72,15644737
cold_start,1,5,0.0029354095458984375,0.00012946128845214844,[1],72,2116142
cold_start,2,5,2.0013480186462402,0.0021648406982421875,[1],72,805549689
cold_start,3,5,0.191694974899292,0.0001933574676513672,[1],72,67127854
cold_start,4,5,0.0006911754608154297,5.459785461425781e-05,[1],72,2022
cold_start,0,5,0.040761470794677734,0.00037860870361328125,[1],72,15644737
cold_start,1,5,0.0026001930236816406,0.00026106834411621094,[1],72,2116142
cold_start,2,5,2.019740104675293,0.002346515655517578,[1],72,805549689
cold_start,3,5,0.16614174842834473,0.00019216537475585938,[1],72,67127854
cold_start,4,5,0.0007574558258056641,0.00013899803161621094,[1],72,2022
cold_start,0,5,0.05304551124572754,0.0006747245788574219,[1],72,15644737
cold_start,1,5,0.0031664371490478516,0.00020313262939453125,[1],72,2116142
cold_start,2,5,2.008385419845581,0.002909421920776367,[1],72,805549689
cold_start,3,5,0.16407465934753418,0.0006203651428222656,[1],72,67127854
cold_start,4,5,0.0007863044738769531,0.00014019012451171875,[1],72,2022
cold_start,0,5,0.040413618087768555,0.0004687309265136719,[1],72,15644737
