unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668549574.1065812,935485.5750000001,800,3000,189758066688,201420431360,468217999360,499999834112,25000000000,0,280808209973,162112424895,0,0,23040,2
1668549575.2864556,896398.3250000001,800,3000,189757059072,201420431360,468217999360,499999834112,25000000000,292234.4904735578,280808242479,162112435489,0,0,23040,2
1668549576.2657466,943638.2500000002,800,3000,189754560512,201420431360,468217999360,499999834112,25000000000,87802.30117221318,280808248072,162112440644,0,0,23040,2
1668549577.2844162,895306.3749999999,800,3000,189754875904,201420431360,468217999360,499999834112,25000000000,58044.335174986714,280808251067,162112445040,0,0,23040,2
1668549578.268436,935552.1999999995,800,3000,189755084800,201420431360,468217999360,499999834112,25000000000,54746.86829624755,280808254245,162112448596,0,0,23040,2
1668549579.2894382,966267.0500000002,800,3000,189689536512,201420431360,468217995264,499999834112,25000000000,3659.1494720009414,280808254490,162112448818,0,0,23040,2
1668549580.2690969,981584.4499999994,800,3000,189743812608,201420431360,468217995264,499999834112,25000000000,1019039281.9110116,280932772735,162112719398,0,0,23040,2
1668549581.2894871,907654.6499999998,800,3000,189731246080,201420431360,468217995264,499999834112,25000000000,1920566815.9585853,281177277618,162113180477,0,0,23040,2
1668549582.2734058,1015200.2250000002,800,3000,189701197824,201420431360,468217995264,499999834112,25000000000,1649525675.9516125,281379792580,162113540403,0,0,23040,2
1668549583.2700913,1497171.475,800,3000,189680635904,201420431360,468217995264,499999834112,25000000000,1682019501.3729837,281588958199,162113930341,0,0,23040,2
1668549584.2942784,1009531.3250000002,800,3000,189670576128,201420431360,468217995264,499999834112,25000000000,29200227.526818123,281592505571,162114121281,0,0,23040,2
1668549585.2751215,975949.4000000001,800,3000,189666668544,201420431360,468217995264,499999834112,25000000000,26419133.567194965,281595548191,162114317789,0,0,23040,2
1668549586.2982557,900148.3499999999,800,3000,189660594176,201420431360,468217995264,499999834112,25000000000,22070769.70282448,281598079741,162114608909,0,0,23040,2
1668549587.2771049,985645.8999999999,800,3000,189658177536,201420431360,468217995264,499999834112,25000000000,39203048.92160179,281602678751,162114806633,0,0,23040,2
1668549588.2786214,1003876.3000000002,800,3000,189655465984,201420431360,468217995264,499999834112,25000000000,192898829.38113466,281626669899,162114964407,0,0,23040,2
1668549589.2788374,990332.6999999996,800,3000,189650997248,201420431360,468217995264,499999834112,25000000000,19066113.58156755,281628856754,162115161331,0,0,23040,2
1668549590.2979,1028476.6750000002,800,3000,189630402560,201420431360,468217995264,499999834112,25000000000,24287726.745659247,281631582585,162115529339,0,0,23040,2
1668549591.2813475,1118269.0000000002,800,3000,189617053696,201420431360,468217995264,499999834112,25000000000,2587201291.549448,281790672121,162274486900,0,0,23040,2
1668549592.282773,1033562.5999999997,800,3000,189616918528,201420431360,468217995264,499999834112,25000000000,11727.282703570212,281790672761,162274487728,0,0,23040,2
1668549593.283059,985181.225,800,3000,189617086464,201420431360,468217995264,499999834112,25000000000,50409.589719277996,281790675740,162274491052,0,0,23040,2
1668549594.3063412,965741.3499999999,800,3000,189615759360,201420431360,468217995264,499999834112,25000000000,11633.153551165587,281790676424,162274491856,0,0,23040,2
1668549595.285607,1003599.1999999996,800,3000,189614759936,201420431360,468217995264,499999834112,25000000000,5359.116301819743,281790676792,162274492144,0,0,23040,2
1668549596.2862911,1611594.5500000003,800,3000,189477994496,201420431360,468217995264,499999834112,25000000000,1468275.6658160146,281790737476,162274615120,0,0,23040,2
1668549597.2870471,1286901.05,800,3000,189323333632,201420431360,468217995264,499999834112,25000000000,15868.003387750969,281790738429,162274616152,0,0,23040,2
1668549598.2881896,1346292.5250000004,800,3000,188957802496,201420431360,468217995264,499999834112,25000000000,6408086.749155533,281791330426,162274826081,0,0,23040,2
1668549599.282962,2452321.5500000003,800,3000,188412891136,201420431360,468217995264,499999834112,25000000000,238515632.153152,281815704248,162280110856,0,0,23040,2
1668549600.2830348,2499211.8749999986,800,3000,188387487744,201420431360,468217995264,499999834112,25000000000,12819107.824390784,281816505129,162280912480,0,0,23040,2
1668549601.2839766,2495717.6,800,3000,188314947584,201420431360,468217995264,499999834112,25000000000,674835175.6873252,281898180469,162283670978,1,0,23040,308
1668549602.285577,2492064.8500000006,800,3000,188212162560,201420431360,468217995264,499999834112,25000000000,4863184310.440121,282493003947,162297718482,2,0,23040,402
1668549603.3054526,2187688.7249999996,800,3000,187660812288,201420431360,468217995264,499999834112,25000000000,2403788172.6467113,282777429095,162319738925,2,0,23040,530
1668549604.2867453,2425749.2500000005,800,3000,186891055104,201420431360,468217995264,499999834112,25000000000,2801048546.542684,283099508590,162341240500,3,0,23040,750
1668549605.287714,2441549.2249999996,800,3000,185862049792,201420431360,468217995264,499999834112,25000000000,740225203.7779984,283169268324,162364098548,6,0,23040,1078
1668549606.2886925,2405632.05,800,3000,185384169472,201420431360,468217995264,499999834112,25000000000,1320731112.4283376,283312659668,162385960130,4,0,23040,2106
1668549607.2895987,2451152.2249999996,800,3000,185224888320,201420431360,468217995264,499999834112,25000000000,428312139.1102776,283344431908,162407775426,98,63,23040,2490
1668549608.2905145,2495107.55,800,3000,185121050624,201420431360,468217995264,499999834112,25000000000,284959124.19040316,283362257653,162425602191,98,67,23040,2534
1668549609.3119006,2014605.2250000006,800,3000,185037799424,201420431360,468217995264,499999834112,25000000000,172702220.99312326,283373281625,162436627676,90,62,23040,2534
1668549610.2953343,1893908.8499999994,800,3000,185040781312,201420431360,468217995264,499999834112,25000000000,64793.38513680597,283373285068,162436632198,98,69,23040,2580
1668549611.3178468,1625899.3999999997,800,3000,185039552512,201420431360,468217995264,499999834112,25000000000,31037.275328255837,283373286507,162436634726,100,67,23040,2580
1668549612.3013527,1795591.2750000001,800,3000,185036197888,201420431360,468217995264,499999834112,25000000000,21051.2195675135,283373287293,162436636528,98,68,23040,2628
1668549613.3023245,1756816.9749999992,800,3000,184975687680,201420431360,468217995264,499999834112,25000000000,21970.649052253488,283373288240,162436638330,98,68,23040,2628
1668549614.3030183,1770547.55,800,3000,185032691712,201420431360,468217995264,499999834112,25000000000,80200.35714738395,283373292540,162436644062,98,68,23040,2628
1668549615.321964,1663088.725,800,3000,185035493376,201420431360,468217991168,499999834112,25000000000,22737.227447067788,283373293568,162436645930,98,70,23040,2628
1668549616.305602,1881896.5750000002,800,3000,185032282112,201420431360,468217991168,499999834112,25000000000,30157.43449038788,283373294868,162436648338,97,66,23040,2628
1668549617.325996,1826581.2999999993,800,3000,185029419008,201420431360,468217991168,499999834112,25000000000,24029.937105154815,283373295849,162436650422,90,63,23040,2628
1668549618.3032174,1787406.925,800,3000,185027465216,201420431360,468217991168,499999834112,25000000000,30682.911027812286,283373297165,162436652854,90,58,23040,2628
1668549619.3257158,1672526.8249999997,800,3000,185032024064,201420431360,468217991168,499999834112,25000000000,122734.67007689332,283373304428,162436661278,97,61,23040,2628
1668549620.3092568,1734441.6500000001,800,3000,185032339456,201420431360,468217991168,499999834112,25000000000,58181.61043907429,283373307343,162436665516,98,63,23040,2676
1668549621.3085082,1764459.5999999996,800,3000,185030791168,201420431360,468217991168,499999834112,25000000000,39357.4643492834,283373309024,162436668751,99,64,23040,2676
1668549622.3114784,1800481.5749999997,800,3000,185029353472,201420431360,468217991168,499999834112,25000000000,30325.925370629477,283373310322,162436671255,98,63,23040,2676
1668549623.3119576,1783992.875,800,3000,185033199616,201420431360,468217991168,499999834112,25000000000,19902.462315260487,283373311167,162436672899,98,64,23040,2676
1668549624.3133357,1870418.4500000004,800,3000,185033953280,201420431360,468217991168,499999834112,25000000000,33713.54073870904,283373312691,162436675595,98,65,23040,2676
1668549625.3339279,1788189.7249999996,800,3000,185033621504,201420431360,468217991168,499999834112,25000000000,68916.84957649192,283373316513,162436680565,98,65,23040,2676
1668549626.3155427,1763451.7000000002,800,3000,185031917568,201420431360,468217991168,499999834112,25000000000,30545.585846272374,283373317829,162436682997,93,64,23040,2676
1668549627.3108037,1780165.0250000001,800,3000,185036902400,201420431360,468217991168,499999834112,25000000000,23005.02185904796,283373318823,162436684865,98,69,23040,2676
1668549628.3120818,1796382.75,800,3000,185034854400,201420431360,468217991168,499999834112,25000000000,34915.372497568256,283373320341,162436687717,97,68,23040,2676
1668549629.313032,1788882.675,800,3000,185032396800,201420431360,468217991168,499999834112,25000000000,22450.66966280787,283373321348,162436689519,97,66,23040,2676
1668549630.3140092,1803124.875,800,3000,184965328896,201420431360,468217991168,499999834112,25000000000,161833.84338473462,283373323097,162436708019,95,64,23040,2676
1668549631.3132958,1760651.7499999998,800,3000,185033752576,201420431360,468217991168,499999834112,25000000000,73388.35146226289,283373327012,162436713271,93,62,23040,2676
1668549632.3186867,1811868.6750000003,800,3000,185034784768,201420431360,468217991168,499999834112,25000000000,20592.985634284778,283373327798,162436715073,97,64,23040,2676
1668549633.3382378,1780890.1,800,3000,185033138176,201420431360,468217991168,499999834112,25000000000,31190.199206932524,283373329239,162436717607,97,63,23040,2676
1668549634.3193114,1711431.45,800,3000,185032818688,201420431360,468217991168,499999834112,25000000000,19766.100775203216,283373330019,162436719251,93,61,23040,2676
1668549635.3448265,1529605.1749999996,800,3000,185036189696,201420431360,468217991168,499999834112,25000000000,158780.69787102664,283373338051,162436731573,90,58,23040,2676
1668549636.3257694,1822721.95,800,3000,185038209024,201420431360,468217991168,499999834112,25000000000,57560.94089087207,283373340663,162436736019,98,65,23040,2676
1668549637.3457983,1610689.8750000005,800,3000,185033646080,201420431360,468217991168,499999834112,25000000000,545702.2231735842,283373347101,162436799160,98,64,23040,2676
1668549638.3221946,1774811.8,800,3000,185035001856,201420431360,468217991168,499999834112,25000000000,43244.73478421499,283373349783,162436801756,99,68,23040,2676
