unix,cpu_util,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668655088.1232142,11.8,867227.45,800,3000,196132646912,201420431360,457564508160,499999834112,25000000000,0,893954206767,36731758585169,0,0,0,23040,0
1668655089.2218666,0.30000000000000004,800528.975,800,3000,196132937728,201420431360,457564508160,499999834112,25000000000,65330.94764893506,893954212109,36731758588799,0.000261323790595,0,0,23040,0
1668655090.202925,1.9,838432.3,800,3000,196078141440,201420431360,457564508160,499999834112,25000000000,31957.324156829753,893954214512,36731758590315,0.00012782929662700002,0,0,23040,0
1668655091.2036479,8.3,1053600.1500000001,800,3000,195948560384,201420431360,457564508160,499999834112,25000000000,1829653.3707818482,893954414758,36731758618941,0.007318613483127001,0,0,23040,2
1668655092.2026799,10,1675715.6500000001,800,3000,195836985344,201420431360,457564508160,499999834112,25000000000,27172230.159893315,893956110945,36731760315995,0.10868892063957301,0,0,23040,2
1668655093.2260334,0.9,804255.4749999997,800,3000,195834945536,201420431360,457564508160,499999834112,25000000000,2456856493.5352225,894113250518,36731917455532,9.827425974140889,0,0,23040,2
1668655094.206642,0.2,829511.2,800,3000,195835052032,201420431360,457564508160,499999834112,25000000000,225141.8463796235,894113258017,36731917475630,0.000900567385518,0,0,23040,2
1668655095.230018,0.30000000000000004,800522.825,800,3000,195835248640,201420431360,457564508160,499999834112,25000000000,28032.707759618857,894113260431,36731917476802,0.00011213083103800001,0,0,23040,2
1668655096.209067,0.2,826223.25,800,3000,195836743680,201420431360,457564508160,499999834112,25000000000,13899.199263593924,894113261292,36731917477642,5.5596797054375695e-05,0,0,23040,2
1668655097.2299347,0.30000000000000004,800558.7000000002,800,3000,195837227008,201420431360,457564508160,499999834112,25000000000,67205.58173434764,894113265318,36731917482192,0.00026882232693700004,0,0,23040,2
1668655098.2081566,9.5,1635420.875,800,3000,195745898496,201420431360,457564508160,499999834112,25000000000,8856.886212880458,894113265945,36731917482648,3.542754485152183e-05,0,0,23040,2
1668655099.2075148,12.5,1900913.9,800,3000,195569528832,201420431360,457564508160,499999834112,25000000000,73303.04756833409,894113267815,36731917489935,0.00029321219027300004,0,0,23040,2
1668655100.2292514,3.8,990455.275,800,3000,195439558656,201420431360,457564508160,499999834112,25000000000,339420630.11287713,894156472510,36731917635051,1.357682520451508,0,0,23040,2
1668655101.2093709,5.3,1156261.8499999996,800,3000,194873376768,201420431360,457564508160,499999834112,25000000000,9275643931.29807,895290660542,36731919851917,37.10257572519228,0,0,23040,10
1668655102.2142508,2.8,928555.8250000001,800,3000,194126635008,201420431360,457564508160,499999834112,25000000000,187286.0531483079,895290671665,36731919864319,0.000749144212593,3,0,23040,386
