action,module_idx,num_modules,cold_start_time,exec_time,input_shape,input_bytes,file_size
cold_start,0,19,0.16441965103149414,0.00022673606872558594,[1],72,65800328
cold_start,1,19,0.0408780574798584,0.0018723011016845703,[1],72,12614734
cold_start,2,19,0.03498506546020508,0.0011942386627197266,[1],72,12616205
cold_start,3,19,0.035694122314453125,0.0012106895446777344,[1],72,12616205
cold_start,4,19,0.023097991943359375,0.0012059211730957031,[1],72,12616241
cold_start,5,19,0.02103424072265625,0.001203298568725586,[1],72,12616241
cold_start,6,19,0.02085089683532715,0.0012199878692626953,[1],72,12616241
cold_start,7,19,0.0010797977447509766,0.00023102760314941406,[1],72,5002
cold_start,8,19,0.0006773471832275391,5.1021575927734375e-05,[1],72,1971
cold_start,9,19,0.15862154960632324,0.0002014636993408203,[1],72,65800496
cold_start,10,19,0.0352473258972168,0.0016531944274902344,[1],72,16825864
cold_start,11,19,0.02977466583251953,0.0012202262878417969,[1],72,16821416
cold_start,12,19,0.0391080379486084,0.005686521530151367,[1],72,16821416
cold_start,13,19,0.02841043472290039,0.0012311935424804688,[1],72,16821416
cold_start,14,19,0.04198908805847168,0.0012536048889160156,[1],72,16821416
cold_start,15,19,0.03552389144897461,0.0012068748474121094,[1],72,16821416
cold_start,16,19,0.0010662078857421875,0.00025200843811035156,[1],72,5009
cold_start,17,19,0.0007569789886474609,5.221366882324219e-05,[1],72,1976
cold_start,18,19,0.1625385284423828,0.00019216537475585938,[1],72,65800438
cold_start,0,19,0.15753388404846191,0.00016117095947265625,[1],72,65800496
cold_start,1,19,0.035058021545410156,0.0016875267028808594,[1],72,12621110
cold_start,2,19,0.024663686752319336,0.0015034675598144531,[1],72,12616241
cold_start,3,19,0.02485060691833496,0.0012171268463134766,[1],72,12616241
cold_start,4,19,0.021019935607910156,0.0012614727020263672,[1],72,12616241
cold_start,5,19,0.02292919158935547,0.001220703125,[1],72,12616305
cold_start,6,19,0.022838592529296875,0.0012707710266113281,[1],72,12616305
cold_start,7,19,0.001055002212524414,0.0002923011779785156,[1],72,5002
cold_start,8,19,0.000759124755859375,3.790855407714844e-05,[1],72,1971
cold_start,9,19,0.15591120719909668,0.0001773834228515625,[1],72,65800496
cold_start,10,19,0.03233957290649414,0.0016522407531738281,[1],72,16825904
cold_start,11,19,0.03099536895751953,0.0012171268463134766,[1],72,16821416
cold_start,12,19,0.04293012619018555,0.0012140274047851562,[1],72,16821416
cold_start,13,19,0.0427701473236084,0.001245737075805664,[1],72,16821416
cold_start,14,19,0.03432488441467285,0.0012564659118652344,[1],72,16821416
cold_start,15,19,0.04192471504211426,0.0012848377227783203,[1],72,16821468
cold_start,16,19,0.0010800361633300781,0.0003261566162109375,[1],72,5011
cold_start,17,19,0.00077056884765625,2.0742416381835938e-05,[1],72,1978
cold_start,18,19,0.15732145309448242,0.0001971721649169922,[1],72,65800440
cold_start,0,19,0.15511369705200195,0.0001583099365234375,[1],72,65800498
cold_start,1,19,0.03517460823059082,0.001661539077758789,[1],72,12621212
cold_start,2,19,0.031113624572753906,0.0011794567108154297,[1],72,12616341
cold_start,3,19,0.03326869010925293,0.0011954307556152344,[1],72,12616341
cold_start,4,19,0.032723188400268555,0.0011947154998779297,[1],72,12616341
cold_start,5,19,0.037941694259643555,0.0012669563293457031,[1],72,12616341
cold_start,6,19,0.035089969635009766,0.0012295246124267578,[1],72,12616341
cold_start,7,19,0.0011200904846191406,0.0002582073211669922,[1],72,5004
cold_start,8,19,0.0007042884826660156,2.5033950805664062e-05,[1],72,1973
cold_start,9,19,0.1569840908050537,0.000156402587890625,[1],72,65800498
cold_start,10,19,0.04316115379333496,0.001630544662475586,[1],72,16826022
cold_start,11,19,0.041692495346069336,0.0012366771697998047,[1],72,16821468
cold_start,12,19,0.04441690444946289,0.0012652873992919922,[1],72,16821468
cold_start,13,19,0.042112112045288086,0.0012500286102294922,[1],72,16821468
cold_start,14,19,0.04166245460510254,0.0012135505676269531,[1],72,16821468
cold_start,15,19,0.04196786880493164,0.0012378692626953125,[1],72,16821468
cold_start,16,19,0.0010600090026855469,0.0002040863037109375,[1],72,5011
cold_start,17,19,0.0007927417755126953,5.173683166503906e-05,[1],72,1978
cold_start,18,19,0.1775062084197998,0.00019240379333496094,[1],72,65800440
