model_name,rate,detector_count
resnet50,8453.7866954217,1
resnet50,61.17932648048126,1
resnet50,78.21928520624887,1
resnet50,72.41549961968217,1
resnet50,55.03942240252172,2
resnet50,4.256359802803156,4
inception_v3,59.137335661338795,1
inception_v3,31.566235663701782,2
inception_v3,4.174932931592055,4
wide_resnet101_2,41.9646786669078,1
wide_resnet101_2,20.64884983956364,2
wide_resnet101_2,4.146285361037023,4
resnet50,53.230604612690264,1
wide_resnet101_2,47.07499601002667,1
wide_resnet101_2,22.94722264513678,2
wide_resnet101_2,3.9657889139864633,4
resnet50,54.94619854885477,1
resnet50,23.74989275457999,2
resnet50,3.2468307610808695,4
resnet50,37.80490319834061,1
wide_resnet101_2,34.98563353276563,1
wide_resnet101_2,14.144122027827219,2
wide_resnet101_2,3.907038778787558,4
inception_v3,58.01425752651387,1
inception_v3,29.375104053282975,2
inception_v3,4.134670877319889,4
vit_h14,12.513911991172705,1
vit_h14_in1k,2.8448393372225613,1
vit_h14_in1k,1.2920343315342044,2
vit_b16_in1k,35.117133189447806,1
vit_b16_in1k,18.438888173469785,2
vit_b16_in1k,5.627289609530655,4
vgg19_bn,77.56318787264478,1
vgg19_bn,41.338455848324955,2
vgg19_bn,4.61340453245459,4
vit_h14_in1k,0.6442297838047076,4
