action,module_idx,num_modules,cold_start_time,exec_time,input_shape,input_bytes,file_size,send_time
cold_start,24,31,0.20842313766479492,0.003058910369873047,[2],12288,67217733,0.0005304813385009766
cold_start,25,31,0.21310710906982422,0.003292560577392578,[2],12288,67217733,0.0005328655242919922
cold_start,26,31,0.20843720436096191,0.0032248497009277344,[2],12288,67217733,0.0005338191986083984
cold_start,27,31,0.20863008499145508,0.003082752227783203,[2],12288,67217733,0.0005297660827636719
cold_start,28,31,0.20866036415100098,0.003091096878051758,[2],12288,67217733,0.0005626678466796875
cold_start,29,31,0.20470571517944336,0.00379180908203125,[2],12288,67217733,0.0005326271057128906
cold_start,30,31,0.0014472007751464844,0.0001163482666015625,[2],12288,10904,4.76837158203125e-05
cold_start,0,31,0.6234579086303711,0.0004475116729736328,"[1, 1, 444]",3552,205887810,3.790855407714844e-05
cold_start,1,31,0.6082069873809814,0.00044417381286621094,"[1, 1, 444]",3552,205887810,2.956390380859375e-05
cold_start,2,31,0.004914522171020508,0.0002467632293701172,"[1, 1, 444, 1024]",1818624,4205996,6.103515625e-05
cold_start,3,31,0.12996244430541992,0.004019498825073242,"[1, 1, 1024]",4096,50408068,0.000274658203125
cold_start,4,31,0.159437894821167,0.004687070846557617,[1],4096,50408068,0.0003371238708496094
cold_start,5,31,0.15955710411071777,0.004825592041015625,[1],4096,50408068,0.00033664703369140625
cold_start,6,31,0.15949416160583496,0.004441738128662109,[1],4096,50408068,0.0003383159637451172
cold_start,7,31,0.15950250625610352,0.005064964294433594,[1],4096,50408068,0.00033974647521972656
cold_start,8,31,0.1600642204284668,0.00463557243347168,[1],4096,50408068,0.0003387928009033203
cold_start,9,31,0.16150212287902832,0.00432276725769043,[1],4096,50408068,0.0003368854522705078
cold_start,10,31,0.16127610206604004,0.00445556640625,[1],4096,50408175,0.0003345012664794922
cold_start,11,31,0.15703654289245605,0.004468679428100586,[1],4096,50408175,0.00033783912658691406
cold_start,12,31,0.15919899940490723,0.004634857177734375,[1],4096,50408175,0.0003390312194824219
cold_start,13,31,0.15927481651306152,0.004651308059692383,[1],4096,50408175,0.00034046173095703125
cold_start,14,31,0.15998268127441406,0.004933357238769531,[1],4096,50408175,0.0003361701965332031
cold_start,15,31,0.0014948844909667969,0.00010395050048828125,[1],4096,10904,4.8160552978515625e-05
cold_start,16,31,0.6268117427825928,0.00041222572326660156,"[1, 1, 444]",3552,205887816,3.695487976074219e-05
cold_start,17,31,0.007734537124633789,0.0003104209899902344,"[1, 1, 444, 1024]",1818624,4206004,3.743171691894531e-05
cold_start,18,31,0.20774030685424805,0.003282308578491211,"[1, 1, 1024]",4096,67217733,0.0005333423614501953
cold_start,19,31,0.2077624797821045,0.003327608108520508,[2],12288,67217733,0.0005307197570800781
cold_start,20,31,0.20940923690795898,0.003307342529296875,[2],12288,67217733,0.0005397796630859375
cold_start,21,31,0.20603561401367188,0.0030379295349121094,[2],12288,67217733,0.0005457401275634766
cold_start,22,31,0.20606255531311035,0.003338336944580078,[2],12288,67217733,0.0005326271057128906
cold_start,23,31,0.2085716724395752,0.003360748291015625,[2],12288,67217733,0.0005304813385009766
cold_start,24,31,0.20874857902526855,0.0030481815338134766,[2],12288,67217733,0.0005340576171875
cold_start,25,31,0.2091376781463623,0.0030455589294433594,[2],12288,67217733,0.0005331039428710938
cold_start,26,31,0.2103722095489502,0.0032799243927001953,[2],12288,67217733,0.0005340576171875
cold_start,27,31,0.2086789608001709,0.0030317306518554688,[2],12288,67217733,0.0005314350128173828
cold_start,28,31,0.20847296714782715,0.0030651092529296875,[2],12288,67217733,0.0005404949188232422
cold_start,29,31,0.2084968090057373,0.0030584335327148438,[2],12288,67217733,0.0005705356597900391
cold_start,30,31,0.0014104843139648438,9.322166442871094e-05,[2],12288,10904,4.792213439941406e-05
cold_start,0,31,0.6121580600738525,0.0003974437713623047,"[1, 1, 444]",3552,205887810,3.0040740966796875e-05
