action,module_idx,num_modules,cold_start_time,exec_time,input_shape,input_bytes,file_size,send_time
cold_start,0,55,0.41665029525756836,0.0006306171417236328,"[1, 131]",1048,131598390,6.365776062011719e-05
cold_start,1,55,0.6203608512878418,0.08175325393676758,"[1, 131, 1024]",536576,201364551,0.0003159046173095703
cold_start,2,55,0.5641512870788574,0.0714273452758789,"[1, 131, 1024]",536576,201363069,0.00023221969604492188
cold_start,3,55,0.5494949817657471,0.11151742935180664,"[1, 131, 1024]",536576,201363069,0.00023221969604492188
cold_start,4,55,0.6009387969970703,0.07276582717895508,"[1, 131, 1024]",536576,201363169,0.00023674964904785156
cold_start,5,55,0.6176242828369141,0.11067676544189453,"[1, 131, 1024]",536576,201363169,0.0002884864807128906
cold_start,6,55,0.5957789421081543,0.09045958518981934,"[1, 131, 1024]",536576,201363169,0.0002377033233642578
cold_start,7,55,0.6270346641540527,0.10591006278991699,"[1, 131, 1024]",536576,201363169,0.0002899169921875
cold_start,8,55,0.6233711242675781,0.07440686225891113,"[1, 131, 1024]",536576,201363169,0.00032067298889160156
cold_start,9,55,0.5970010757446289,0.0694577693939209,"[1, 131, 1024]",536576,201363169,0.0002353191375732422
cold_start,10,55,0.6059300899505615,0.06735634803771973,"[1, 131, 1024]",536576,201363729,0.0002353191375732422
cold_start,11,55,0.5947585105895996,0.06603693962097168,"[1, 131, 1024]",536576,201363729,0.0002357959747314453
cold_start,12,55,0.638178825378418,0.06917452812194824,"[1, 131, 1024]",536576,201363729,0.0002956390380859375
cold_start,13,55,0.6266398429870605,0.06915760040283203,"[1, 131, 1024]",536576,201363729,0.00033402442932128906
cold_start,14,55,0.6272802352905273,0.07380795478820801,"[1, 131, 1024]",536576,201363729,0.0002913475036621094
cold_start,15,55,0.6191666126251221,0.07156205177307129,"[1, 131, 1024]",536576,201363729,0.00029349327087402344
cold_start,16,55,0.6169192790985107,0.06936144828796387,"[1, 131, 1024]",536576,201363729,0.0002932548522949219
cold_start,17,55,0.6144387722015381,0.06882309913635254,"[1, 131, 1024]",536576,201363729,0.00029277801513671875
cold_start,18,55,0.625697135925293,0.06684041023254395,"[1, 131, 1024]",536576,201363729,0.00029206275939941406
cold_start,19,55,0.6058290004730225,0.06503987312316895,"[1, 131, 1024]",536576,201363729,0.0002446174621582031
cold_start,20,55,0.5984108448028564,0.06670665740966797,"[1, 131, 1024]",536576,201363729,0.00023627281188964844
cold_start,21,55,0.5835514068603516,0.0714256763458252,"[1, 131, 1024]",536576,201363729,0.0002377033233642578
cold_start,22,55,0.6178038120269775,0.0728597640991211,"[1, 131, 1024]",536576,201363729,0.00029277801513671875
cold_start,23,55,0.6113231182098389,0.0685586929321289,"[1, 131, 1024]",536576,201363729,0.0002903938293457031
cold_start,24,55,0.6285655498504639,0.07273054122924805,"[1, 131, 1024]",536576,201363729,0.0002911090850830078
cold_start,25,55,0.002731800079345703,0.0005843639373779297,"[1, 131, 1024]",536576,7036,5.984306335449219e-05
cold_start,26,55,0.0013585090637207031,4.649162292480469e-05,"[1, 131, 1024]",536576,1961,1.33514404296875e-05
cold_start,27,55,0.40724706649780273,0.00040268898010253906,"[1, 131]",1048,131598564,4.172325134277344e-05
cold_start,28,55,0.8236105442047119,0.1056671142578125,"[1, 131, 1024]",536576,268492775,0.0003898143768310547
cold_start,29,55,0.8403990268707275,0.15447068214416504,"[1, 131, 1024]",536576,268485273,0.0003685951232910156
cold_start,30,55,0.7778310775756836,0.1622447967529297,"[1, 131, 1024]",536576,268485273,0.00036263465881347656
cold_start,31,55,0.863440752029419,0.07768702507019043,"[1, 131, 1024]",536576,268485389,0.0003693103790283203
cold_start,32,55,0.80635666847229,0.07948112487792969,"[1, 131, 1024]",536576,268485389,0.0003612041473388672
cold_start,33,55,0.8045730590820312,0.0770423412322998,"[1, 131, 1024]",536576,268485389,0.00036072731018066406
cold_start,34,55,0.842041015625,0.07975649833679199,"[1, 131, 1024]",536576,268485389,0.0004515647888183594
cold_start,35,55,0.7895145416259766,0.07230114936828613,"[1, 131, 1024]",536576,268485389,0.0003619194030761719
cold_start,36,55,0.7971823215484619,0.08399462699890137,"[1, 131, 1024]",536576,268485389,0.0003635883331298828
cold_start,37,55,0.7623727321624756,0.13535213470458984,"[1, 131, 1024]",536576,268485389,0.0003643035888671875
cold_start,38,55,0.8022253513336182,0.07177329063415527,"[1, 131, 1024]",536576,268485389,0.0003848075866699219
cold_start,39,55,0.7918839454650879,0.07679510116577148,"[1, 131, 1024]",536576,268485389,0.00036406517028808594
cold_start,40,55,0.7748425006866455,0.0723257064819336,"[1, 131, 1024]",536576,268485389,0.0003631114959716797
cold_start,41,55,0.7815067768096924,0.07995176315307617,"[1, 131, 1024]",536576,268485389,0.0003635883331298828
cold_start,42,55,0.7902390956878662,0.0715792179107666,"[1, 131, 1024]",536576,268485389,0.00036454200744628906
cold_start,43,55,0.7921154499053955,0.07718992233276367,"[1, 131, 1024]",536576,268485389,0.0003628730773925781
cold_start,44,55,0.7738223075866699,0.07908368110656738,"[1, 131, 1024]",536576,268485389,0.0003628730773925781
cold_start,45,55,0.7960548400878906,0.07087111473083496,"[1, 131, 1024]",536576,268485389,0.0003643035888671875
cold_start,46,55,0.8088982105255127,0.0772252082824707,"[1, 131, 1024]",536576,268485389,0.00037407875061035156
cold_start,47,55,0.7800271511077881,0.07131457328796387,"[1, 131, 1024]",536576,268485389,0.0003597736358642578
cold_start,48,55,0.8005547523498535,0.0991201400756836,"[1, 131, 1024]",536576,268485389,0.0003638267517089844
cold_start,49,55,0.7956995964050293,0.0698850154876709,"[1, 131, 1024]",536576,268485389,0.0003654956817626953
cold_start,50,55,0.7960212230682373,0.08328461647033691,"[1, 131, 1024]",536576,268485389,0.0003616809844970703
cold_start,51,55,0.7992391586303711,0.07047080993652344,"[1, 131, 1024]",536576,268485389,0.00036406517028808594
cold_start,52,55,0.0027985572814941406,0.0005440711975097656,"[1, 131, 1024]",536576,7038,6.604194641113281e-05
cold_start,53,55,0.0014569759368896484,3.528594970703125e-05,"[1, 131, 1024]",536576,1963,1.811981201171875e-05
cold_start,54,55,0.4033825397491455,0.0339665412902832,"[1, 131, 1024]",536576,131598566,3.695487976074219e-05
cold_start,0,55,0.40669822692871094,0.00039649009704589844,"[1, 131]",1048,131598560,3.790855407714844e-05
cold_start,1,55,0.6029202938079834,0.08597207069396973,"[1, 131, 1024]",536576,201370999,0.00026106834411621094
cold_start,2,55,0.607633113861084,0.08475947380065918,"[1, 131, 1024]",536576,201363205,0.0002460479736328125
cold_start,3,55,0.6311922073364258,0.08389925956726074,"[1, 131, 1024]",536576,201363205,0.0002987384796142578
cold_start,4,55,0.6049413681030273,0.07411789894104004,"[1, 131, 1024]",536576,201363205,0.0002384185791015625
cold_start,5,55,0.6502156257629395,0.0643453598022461,"[1, 131, 1024]",536576,201363205,0.0002434253692626953
cold_start,6,55,0.6241199970245361,0.07045102119445801,"[1, 131, 1024]",536576,201363205,0.00029468536376953125
cold_start,7,55,0.6202070713043213,0.07480835914611816,"[1, 131, 1024]",536576,201363205,0.00029397010803222656
cold_start,8,55,0.6252906322479248,0.06795501708984375,"[1, 131, 1024]",536576,201363205,0.0002956390380859375
cold_start,9,55,0.6266252994537354,0.07089710235595703,"[1, 131, 1024]",536576,201363205,0.0002956390380859375
cold_start,10,55,0.6197996139526367,0.07150697708129883,"[1, 131, 1024]",536576,201363829,0.0003006458282470703
cold_start,11,55,0.6208934783935547,0.07031631469726562,"[1, 131, 1024]",536576,201363829,0.0002956390380859375
cold_start,12,55,0.6043305397033691,0.06505990028381348,"[1, 131, 1024]",536576,201363765,0.0002391338348388672
cold_start,13,55,0.6139624118804932,0.06668949127197266,"[1, 131, 1024]",536576,201363765,0.0002372264862060547
cold_start,14,55,0.6209433078765869,0.06913328170776367,"[1, 131, 1024]",536576,201363829,0.0002963542938232422
cold_start,15,55,0.5964577198028564,0.06415271759033203,"[1, 131, 1024]",536576,201363765,0.00023865699768066406
cold_start,16,55,0.6050205230712891,0.06717419624328613,"[1, 131, 1024]",536576,201363829,0.00023698806762695312
cold_start,17,55,0.6062695980072021,0.06517815589904785,"[1, 131, 1024]",536576,201363829,0.0002384185791015625
cold_start,18,55,0.6180167198181152,0.06726264953613281,"[1, 131, 1024]",536576,201363765,0.00023698806762695312
cold_start,19,55,0.6121516227722168,0.06638813018798828,"[1, 131, 1024]",536576,201363765,0.0002372264862060547
cold_start,20,55,0.6289775371551514,0.06963753700256348,"[1, 131, 1024]",536576,201363765,0.0003261566162109375
cold_start,21,55,0.6122574806213379,0.06997394561767578,"[1, 131, 1024]",536576,201363829,0.00029349327087402344
cold_start,22,55,0.598008394241333,0.0670928955078125,"[1, 131, 1024]",536576,201363829,0.00024080276489257812
cold_start,23,55,0.616948127746582,0.06585168838500977,"[1, 131, 1024]",536576,201363765,0.00023865699768066406
cold_start,24,55,0.6153416633605957,0.07066702842712402,"[1, 131, 1024]",536576,201363765,0.0002944469451904297
cold_start,25,55,0.002003192901611328,0.0005457401275634766,"[1, 131, 1024]",536576,7038,4.1484832763671875e-05
cold_start,26,55,0.0013175010681152344,3.552436828613281e-05,"[1, 131, 1024]",536576,1963,1.3113021850585938e-05
