action,module_idx,num_modules,cold_start_time,exec_time,input_shape,input_bytes,file_size,send_time
cold_start,0,15,0.4303133487701416,0.00144195556640625,[1],72,156022602,0.0003070831298828125
cold_start,1,15,0.09223294258117676,0.017247676849365234,[1],72,28377310,0.000400543212890625
cold_start,2,15,0.09181785583496094,0.02007889747619629,[1],72,28383260,0.0004031658172607422
cold_start,3,15,0.08637189865112305,0.016319990158081055,[1],72,28383260,0.0004131793975830078
cold_start,4,15,0.08642196655273438,0.016183853149414062,[1],72,28383296,0.00040268898010253906
cold_start,5,15,0.08749032020568848,0.01632976531982422,[1],72,28383296,0.0004019737243652344
cold_start,6,15,0.08616375923156738,0.016099214553833008,[1],72,28383296,0.00044608116149902344
cold_start,7,15,0.08793449401855469,0.01656961441040039,[1],72,28383296,0.0004336833953857422
cold_start,8,15,0.09337759017944336,0.017644405364990234,[1],72,28383296,0.0004792213439941406
cold_start,9,15,0.08821392059326172,0.016301631927490234,[1],72,28383296,0.0004029273986816406
cold_start,10,15,0.08811092376708984,0.016072750091552734,[1],72,28383352,0.0004057884216308594
cold_start,11,15,0.08776140213012695,0.017187118530273438,[1],72,28383352,0.0004076957702636719
cold_start,12,15,0.08706188201904297,0.01586008071899414,[1],72,28383352,0.0004031658172607422
cold_start,13,15,0.004587888717651367,0.0014810562133789062,[1],72,2364953,0.000102996826171875
cold_start,14,15,0.0010197162628173828,0.00023484230041503906,[1],72,1839,2.9325485229492188e-05
cold_start,0,15,0.4187896251678467,0.006875753402709961,[1],72,156023026,0.00024628639221191406
cold_start,1,15,0.08535003662109375,0.0169527530670166,[1],72,28383296,0.00045752525329589844
cold_start,2,15,0.0839545726776123,0.020618915557861328,[1],72,28383296,0.0004112720489501953
cold_start,3,15,0.08532071113586426,0.016667604446411133,[1],72,28383296,0.0004546642303466797
cold_start,4,15,0.08568620681762695,0.01581549644470215,[1],72,28383296,0.0004086494445800781
cold_start,5,15,0.08843278884887695,0.02460479736328125,[1],72,28383296,0.00042366981506347656
cold_start,6,15,0.08777689933776855,0.016628026962280273,[1],72,28383296,0.0004360675811767578
cold_start,7,15,0.08823204040527344,0.016559839248657227,[1],72,28383296,0.0004124641418457031
cold_start,8,15,0.08777856826782227,0.01627635955810547,[1],72,28383296,0.0004131793975830078
cold_start,9,15,0.08774924278259277,0.016280174255371094,[1],72,28383296,0.0004134178161621094
cold_start,10,15,0.08520984649658203,0.017001867294311523,[1],72,28383352,0.0004031658172607422
cold_start,11,15,0.08587121963500977,0.016101598739624023,[1],72,28383352,0.00040268898010253906
cold_start,12,15,0.08686113357543945,0.01636481285095215,[1],72,28383352,0.0004112720489501953
cold_start,13,15,0.0046176910400390625,0.00136566162109375,[1],72,2364953,0.00010633468627929688
cold_start,14,15,0.0010271072387695312,0.00024247169494628906,[1],72,1943,2.8133392333984375e-05
cold_start,0,15,0.421619176864624,0.0014221668243408203,[1],72,156023026,0.00027823448181152344
cold_start,1,15,0.08478069305419922,0.018540382385253906,[1],72,28383296,0.0004086494445800781
cold_start,2,15,0.08932828903198242,0.020395755767822266,[1],72,28383296,0.0004546642303466797
cold_start,3,15,0.08273005485534668,0.016692638397216797,[1],72,28383296,0.00046515464782714844
cold_start,4,15,0.08755898475646973,0.017399072647094727,[1],72,28383332,0.0004734992980957031
cold_start,5,15,0.09078741073608398,0.01677083969116211,[1],72,28383332,0.0004241466522216797
cold_start,6,15,0.09645557403564453,0.025216341018676758,[1],72,28383332,0.00043511390686035156
cold_start,7,15,0.09023666381835938,0.017220020294189453,[1],72,28383332,0.0004210472106933594
cold_start,8,15,0.0884099006652832,0.016458988189697266,[1],72,28383332,0.0005419254302978516
cold_start,9,15,0.08665180206298828,0.0169827938079834,[1],72,28383332,0.00046753883361816406
cold_start,10,15,0.08712625503540039,0.016426801681518555,[1],72,28383452,0.00041413307189941406
cold_start,11,15,0.08627963066101074,0.016890764236450195,[1],72,28383452,0.0004184246063232422
cold_start,12,15,0.08614397048950195,0.01680278778076172,[1],72,28383452,0.0004229545593261719
cold_start,13,15,0.0077097415924072266,0.001512765884399414,[1],72,2364955,0.00017189979553222656
cold_start,14,15,0.0010499954223632812,0.00023245811462402344,[1],72,2009,3.075599670410156e-05
cold_start,0,15,0.41909193992614746,0.0015094280242919922,[1],72,156023038,0.0003020763397216797
cold_start,1,15,0.09870123863220215,0.019068241119384766,[1],72,28383332,0.0004210472106933594
cold_start,2,15,0.08682799339294434,0.020407676696777344,[1],72,28383332,0.00041866302490234375
cold_start,3,15,0.08631396293640137,0.016518354415893555,[1],72,28383332,0.00043201446533203125
cold_start,4,15,0.08546328544616699,0.016918420791625977,[1],72,28383332,0.00041794776916503906
