action,module_idx,num_modules,cold_start_time,exec_time,input_shape,input_bytes,file_size,send_time
cold_start,0,15,0.38759517669677734,0.0010242462158203125,"[1, 145]",1160,156022458,0.03967404365539551
cold_start,1,15,0.06535530090332031,0.0016980171203613281,"[1, 145, 768]",445440,28377034,0.0071887969970703125
cold_start,2,15,0.06566596031188965,0.0011363029479980469,"[1, 145, 768]",445440,28382988,0.007172822952270508
cold_start,3,15,0.06773209571838379,0.0027990341186523438,"[1, 145, 768]",445440,28382988,0.007174015045166016
cold_start,4,15,0.06776571273803711,0.0028467178344726562,"[1, 145, 768]",445440,28383024,0.007198333740234375
cold_start,5,15,0.06788063049316406,0.0014574527740478516,"[1, 145, 768]",445440,28383024,0.0073659420013427734
cold_start,6,15,0.0724794864654541,0.0020198822021484375,"[1, 145, 768]",445440,28383024,0.007163524627685547
cold_start,7,15,0.06699728965759277,0.002572298049926758,"[1, 145, 768]",445440,28383024,0.00731658935546875
cold_start,8,15,0.055742740631103516,0.0025877952575683594,"[1, 145, 768]",445440,28383024,0.0073277950286865234
cold_start,9,15,0.07460260391235352,0.0011396408081054688,"[1, 145, 768]",445440,28383024,0.007550239562988281
cold_start,10,15,0.06647396087646484,0.001130819320678711,"[1, 145, 768]",445440,28383080,0.007231712341308594
cold_start,11,15,0.06647539138793945,0.0011286735534667969,"[1, 145, 768]",445440,28383080,0.007193088531494141
cold_start,12,15,0.06944751739501953,0.0011577606201171875,"[1, 145, 768]",445440,28383080,0.007180690765380859
cold_start,13,15,0.002905607223510742,0.0001537799835205078,"[1, 145, 768]",445440,2364911,0.0006618499755859375
cold_start,14,15,0.0008211135864257812,6.222724914550781e-05,"[1, 145, 768]",445440,1809,6.4373016357421875e-06
cold_start,0,15,0.3842642307281494,0.0008082389831542969,"[1, 145]",1160,156022946,0.039220333099365234
cold_start,1,15,0.06563949584960938,0.0013680458068847656,"[1, 145, 768]",445440,28383024,0.007290363311767578
cold_start,2,15,0.06638932228088379,0.0011436939239501953,"[1, 145, 768]",445440,28383024,0.007207155227661133
cold_start,3,15,0.06641268730163574,0.0011320114135742188,"[1, 145, 768]",445440,28383024,0.007232189178466797
cold_start,4,15,0.06659150123596191,0.0011229515075683594,"[1, 145, 768]",445440,28383024,0.007242679595947266
cold_start,5,15,0.07001876831054688,0.0012028217315673828,"[1, 145, 768]",445440,28383024,0.007230520248413086
cold_start,6,15,0.07090640068054199,0.0012469291687011719,"[1, 145, 768]",445440,28383024,0.007208824157714844
cold_start,7,15,0.049385786056518555,0.0011494159698486328,"[1, 145, 768]",445440,28383024,0.009125709533691406
cold_start,8,15,0.06806612014770508,0.0011484622955322266,"[1, 145, 768]",445440,28383024,0.007231712341308594
cold_start,9,15,0.044678449630737305,0.0012781620025634766,"[1, 145, 768]",445440,28383024,0.007244586944580078
cold_start,10,15,0.044649600982666016,0.0011234283447265625,"[1, 145, 768]",445440,28383080,0.00727081298828125
cold_start,11,15,0.04467129707336426,0.001135110855102539,"[1, 145, 768]",445440,28383080,0.009077787399291992
cold_start,12,15,0.06676697731018066,0.0011243820190429688,"[1, 145, 768]",445440,28383080,0.007193088531494141
cold_start,13,15,0.0030574798583984375,0.00023651123046875,"[1, 145, 768]",445440,2364911,0.0006668567657470703
cold_start,14,15,0.0008032321929931641,5.412101745605469e-05,"[1, 145, 768]",445440,1849,5.7220458984375e-06
cold_start,0,15,0.38535094261169434,0.0006182193756103516,"[1, 145]",1160,156022946,0.03940081596374512
cold_start,1,15,0.06633353233337402,0.0011146068572998047,"[1, 145, 768]",445440,28383024,0.007229328155517578
cold_start,2,15,0.06664276123046875,0.0011644363403320312,"[1, 145, 768]",445440,28383024,0.0072095394134521484
cold_start,3,15,0.06676578521728516,0.0011265277862548828,"[1, 145, 768]",445440,28383024,0.007223844528198242
cold_start,4,15,0.06937122344970703,0.0012371540069580078,"[1, 145, 768]",445440,28383060,0.007202863693237305
cold_start,5,15,0.06334614753723145,0.0011217594146728516,"[1, 145, 768]",445440,28383124,0.007206439971923828
