x,percent_benefit,num_partitions,num_cuts,total_modules,best_val,base_val,partitions,C,E,N,I,Wb,IN
1,91.43195660853449,26,25,55,1.3897545561834654,16.220209126949307,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]",0.7273817834854126,0.0026265568733214355,0.02532433240699238,0.6623727726980527,0.02532433240699238,0.6078334393545495
1,91.43195660853449,1,0,55,1.3897545561834654,16.220209126949307,[],16.165669793605804,0.054539333343503284,0.0,0.054539333343503284,0.054539333343503284,0.0
1,91.43195660853449,2,1,55,1.3897545561834654,16.220209126949307,[30],8.177364696979522,0.02979354095458843,0.02532433240699238,0.07986366575049567,0.02979354095458843,0.02532433240699238
1,91.43195660853449,3,2,55,1.3897545561834654,16.220209126949307,"[19, 38]",5.537956582546234,0.020310550212859175,0.02532433240699238,0.10518799815748804,0.02532433240699238,0.05064866481398476
1,91.43195660853449,4,3,55,1.3897545561834654,16.220209126949307,"[15, 31, 42]",4.195288989543915,0.015918982028960447,0.02532433240699238,0.13051233056448042,0.02532433240699238,0.07597299722097714
1,91.43195660853449,5,4,55,1.3897545561834654,16.220209126949307,"[12, 23, 35, 44]",3.338777906417847,0.01262229108810366,0.02532433240699238,0.1558366629714728,0.02532433240699238,0.10129732962796952
1,91.43195660853449,6,5,55,1.3897545561834654,16.220209126949307,"[10, 20, 31, 38, 45]",2.856213308334351,0.01097630977630566,0.02532433240699238,0.18116099537846517,0.02532433240699238,0.1266216620349619
1,91.43195660853449,7,6,55,1.3897545561834654,16.220209126949307,"[9, 17, 27, 34, 40, 46]",2.4836245522499083,0.00933348894119219,0.02532433240699238,0.18121045696519758,0.02532433240699238,0.1266711236216943
1,91.43195660853449,8,7,55,1.3897545561834654,16.220209126949307,"[7, 14, 21, 30, 36, 42, 47]",2.171619847297668,0.007683531761169092,0.02532433240699238,0.23180966019244995,0.02532433240699238,0.17727032684894667
1,91.43195660853449,9,8,55,1.3897545561834654,16.220209126949307,"[7, 13, 19, 28, 33, 38, 43, 48]",1.9270045247077943,0.0071386184692379395,0.02532433240699238,0.25713399259944236,0.02532433240699238,0.20259465925593906
1,91.43195660853449,10,9,55,1.3897545561834654,16.220209126949307,"[6, 12, 18, 24, 31, 36, 40, 44, 48]",1.8048186345100403,0.006591121196746532,0.02532433240699238,0.2824583250064347,0.02532433240699238,0.22791899166293142
1,91.43195660853449,11,10,55,1.3897545561834654,16.220209126949307,"[5, 10, 15, 20, 27, 32, 36, 40, 44, 48]",1.6645917024612427,0.0056167244911190985,0.02532433240699238,0.2825077865931671,0.02532433240699238,0.22796845324966383
1,91.43195660853449,12,11,55,1.3897545561834654,16.220209126949307,"[5, 10, 15, 20, 27, 31, 35, 39, 43, 46, 49]",1.4486478247642518,0.0056167244911190985,0.02532433240699238,0.3078321190001595,0.02532433240699238,0.2532927856566562
1,91.43195660853449,12,11,55,1.3897545561834654,16.220209126949307,"[5, 10, 15, 20, 27, 31, 35, 39, 43, 46, 49]",1.4486478247642518,0.0056167244911190985,0.02532433240699238,0.3078321190001595,0.02532433240699238,0.2532927856566562
1,91.43195660853449,14,13,55,1.3897545561834654,16.220209126949307,"[5, 9, 13, 17, 21, 27, 31, 34, 37, 40, 43, 46, 49]",1.3446294460296628,0.004949251651763674,0.02532433240699238,0.3584807838141443,0.02532433240699238,0.303941450470641
1,91.43195660853449,15,14,55,1.3897545561834654,16.220209126949307,"[4, 8, 12, 16, 20, 23, 29, 32, 35, 38, 41, 44, 47, 50]",1.1437245144844055,0.004396794795989793,0.02532433240699238,0.40907998704139664,0.02532433240699238,0.35454065369789334
1,91.43195660853449,16,15,55,1.3897545561834654,16.220209126949307,"[4, 8, 12, 16, 19, 22, 27, 30, 33, 36, 39, 42, 45, 48, 50]",1.1423568029403688,0.004396794795989793,0.02532433240699238,0.40912944862812906,0.02532433240699238,0.35459011528462575
1,91.43195660853449,17,16,55,1.3897545561834654,16.220209126949307,"[4, 7, 10, 13, 16, 19, 22, 27, 30, 33, 36, 39, 42, 45, 48, 50]",1.0884060192108156,0.0038555512428281756,0.02532433240699238,0.4344537810351214,0.02532433240699238,0.3799144476916181
1,91.43195660853449,17,16,55,1.3897545561834654,16.220209126949307,"[4, 7, 10, 13, 16, 19, 22, 27, 30, 33, 36, 39, 42, 45, 48, 50]",1.0884060192108156,0.0038555512428281756,0.02532433240699238,0.4344537810351214,0.02532433240699238,0.3799144476916181
1,91.43195660853449,17,16,55,1.3897545561834654,16.220209126949307,"[4, 7, 10, 13, 16, 19, 22, 27, 30, 33, 36, 39, 42, 45, 48, 50]",1.0884060192108156,0.0038555512428281756,0.02532433240699238,0.4344537810351214,0.02532433240699238,0.3799144476916181
1,91.43195660853449,17,16,55,1.3897545561834654,16.220209126949307,"[4, 7, 10, 13, 16, 19, 22, 27, 30, 33, 36, 39, 42, 45, 48, 50]",1.0884060192108156,0.0038555512428281756,0.02532433240699238,0.4344537810351214,0.02532433240699238,0.3799144476916181
1,91.43195660853449,21,20,55,1.3897545561834654,16.220209126949307,"[3, 6, 9, 12, 15, 18, 21, 24, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]",0.85927312040329,0.0032966909408567863,0.02532433240699238,0.5610259814833508,0.02532433240699238,0.5064866481398476
1,91.43195660853449,22,21,55,1.3897545561834654,16.220209126949307,"[3, 6, 9, 12, 15, 18, 21, 23, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]",0.8585808143615723,0.0032966909408567863,0.02532433240699238,0.5610754430700832,0.02532433240699238,0.5065361097265799
1,91.43195660853449,22,21,55,1.3897545561834654,16.220209126949307,"[3, 6, 9, 12, 15, 18, 21, 23, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]",0.8585808143615723,0.0032966909408567863,0.02532433240699238,0.5610754430700832,0.02532433240699238,0.5065361097265799
1,91.43195660853449,22,21,55,1.3897545561834654,16.220209126949307,"[3, 6, 9, 12, 15, 18, 21, 23, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]",0.8585808143615723,0.0032966909408567863,0.02532433240699238,0.5610754430700832,0.02532433240699238,0.5065361097265799
1,91.43195660853449,25,24,55,1.3897545561834654,16.220209126949307,"[3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]",0.775589870929718,0.002757988929748388,0.02532433240699238,0.6370484402910603,0.02532433240699238,0.5825091069475571
1,91.43195660853449,26,25,55,1.3897545561834654,16.220209126949307,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]",0.7273817834854126,0.0026265568733214355,0.02532433240699238,0.6623727726980527,0.02532433240699238,0.6078334393545495
1,91.43195660853449,26,25,55,1.3897545561834654,16.220209126949307,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]",0.7273817834854126,0.0026265568733214355,0.02532433240699238,0.6623727726980527,0.02532433240699238,0.6078334393545495
1,91.43195660853449,26,25,55,1.3897545561834654,16.220209126949307,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]",0.7273817834854126,0.0026265568733214355,0.02532433240699238,0.6623727726980527,0.02532433240699238,0.6078334393545495
1,91.43195660853449,26,25,55,1.3897545561834654,16.220209126949307,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]",0.7273817834854126,0.0026265568733214355,0.02532433240699238,0.6623727726980527,0.02532433240699238,0.6078334393545495
1,91.43195660853449,26,25,55,1.3897545561834654,16.220209126949307,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]",0.7273817834854126,0.0026265568733214355,0.02532433240699238,0.6623727726980527,0.02532433240699238,0.6078334393545495
1,91.43195660853449,26,25,55,1.3897545561834654,16.220209126949307,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 27, 29, 31, 33, 35, 37, 39, 41, 43, 45, 47, 49, 51]",0.7273817834854126,0.0026265568733214355,0.02532433240699238,0.6623727726980527,0.02532433240699238,0.6078334393545495
500,80.53259682871094,11,10,55,3.200653943200533,16.44109342699043,"[5, 10, 15, 20, 27, 32, 36, 40, 44, 48]",1.6645917024612427,0.0056167244911190985,0.02532433240699238,0.2825077865931671,0.02532433240699238,0.22796845324966383
500,80.53259682871094,1,0,55,3.200653943200533,16.44109342699043,[],16.165669793605804,0.054539333343503284,0.0,0.054539333343503284,0.054539333343503284,0.0
500,80.53259682871094,2,1,55,3.200653943200533,16.44109342699043,[30],8.177364696979522,0.02979354095458843,0.02532433240699238,0.07986366575049567,0.02979354095458843,0.02532433240699238
500,80.53259682871094,3,2,55,3.200653943200533,16.44109342699043,"[19, 38]",5.537956582546234,0.020310550212859175,0.02532433240699238,0.10518799815748804,0.02532433240699238,0.05064866481398476
500,80.53259682871094,4,3,55,3.200653943200533,16.44109342699043,"[15, 31, 42]",4.195288989543915,0.015918982028960447,0.02532433240699238,0.13051233056448042,0.02532433240699238,0.07597299722097714
500,80.53259682871094,5,4,55,3.200653943200533,16.44109342699043,"[12, 23, 35, 44]",3.338777906417847,0.01262229108810366,0.02532433240699238,0.1558366629714728,0.02532433240699238,0.10129732962796952
500,80.53259682871094,6,5,55,3.200653943200533,16.44109342699043,"[10, 20, 31, 38, 45]",2.856213308334351,0.01097630977630566,0.02532433240699238,0.18116099537846517,0.02532433240699238,0.1266216620349619
500,80.53259682871094,7,6,55,3.200653943200533,16.44109342699043,"[9, 17, 27, 34, 40, 46]",2.4836245522499083,0.00933348894119219,0.02532433240699238,0.18121045696519758,0.02532433240699238,0.1266711236216943
500,80.53259682871094,8,7,55,3.200653943200533,16.44109342699043,"[7, 14, 21, 30, 36, 42, 47]",2.171619847297668,0.007683531761169092,0.02532433240699238,0.23180966019244995,0.02532433240699238,0.17727032684894667
500,80.53259682871094,9,8,55,3.200653943200533,16.44109342699043,"[7, 13, 19, 28, 33, 38, 43, 48]",1.9270045247077943,0.0071386184692379395,0.02532433240699238,0.25713399259944236,0.02532433240699238,0.20259465925593906
500,80.53259682871094,9,8,55,3.200653943200533,16.44109342699043,"[7, 13, 19, 28, 33, 38, 43, 48]",1.9270045247077943,0.0071386184692379395,0.02532433240699238,0.25713399259944236,0.02532433240699238,0.20259465925593906
500,80.53259682871094,11,10,55,3.200653943200533,16.44109342699043,"[5, 10, 15, 20, 27, 32, 36, 40, 44, 48]",1.6645917024612427,0.0056167244911190985,0.02532433240699238,0.2825077865931671,0.02532433240699238,0.22796845324966383
500,80.53259682871094,11,10,55,3.200653943200533,16.44109342699043,"[5, 10, 15, 20, 27, 32, 36, 40, 44, 48]",1.6645917024612427,0.0056167244911190985,0.02532433240699238,0.2825077865931671,0.02532433240699238,0.22796845324966383
500,80.53259682871094,11,10,55,3.200653943200533,16.44109342699043,"[5, 10, 15, 20, 27, 32, 36, 40, 44, 48]",1.6645917024612427,0.0056167244911190985,0.02532433240699238,0.2825077865931671,0.02532433240699238,0.22796845324966383
500,80.53259682871094,11,10,55,3.200653943200533,16.44109342699043,"[5, 10, 15, 20, 27, 32, 36, 40, 44, 48]",1.6645917024612427,0.0056167244911190985,0.02532433240699238,0.2825077865931671,0.02532433240699238,0.22796845324966383
500,80.53259682871094,11,10,55,3.200653943200533,16.44109342699043,"[5, 10, 15, 20, 27, 32, 36, 40, 44, 48]",1.6645917024612427,0.0056167244911190985,0.02532433240699238,0.2825077865931671,0.02532433240699238,0.22796845324966383
500,80.53259682871094,11,10,55,3.200653943200533,16.44109342699043,"[5, 10, 15, 20, 27, 32, 36, 40, 44, 48]",1.6645917024612427,0.0056167244911190985,0.02532433240699238,0.2825077865931671,0.02532433240699238,0.22796845324966383
500,80.53259682871094,11,10,55,3.200653943200533,16.44109342699043,"[5, 10, 15, 20, 27, 32, 36, 40, 44, 48]",1.6645917024612427,0.0056167244911190985,0.02532433240699238,0.2825077865931671,0.02532433240699238,0.22796845324966383
500,80.53259682871094,11,10,55,3.200653943200533,16.44109342699043,"[5, 10, 15, 20, 27, 32, 36, 40, 44, 48]",1.6645917024612427,0.0056167244911190985,0.02532433240699238,0.2825077865931671,0.02532433240699238,0.22796845324966383
500,80.53259682871094,11,10,55,3.200653943200533,16.44109342699043,"[5, 10, 15, 20, 27, 32, 36, 40, 44, 48]",1.6645917024612427,0.0056167244911190985,0.02532433240699238,0.2825077865931671,0.02532433240699238,0.22796845324966383
