i,model_name,send_time
0.0,codebert_base,0.14111566543579102
1.0,codebert_base,0.14005470275878906
2.0,codebert_base,0.12996459007263184
3.0,codebert_base,0.13770008087158203
4.0,codebert_base,0.15311288833618164
5.0,codebert_base,0.1364576816558838
6.0,codebert_base,0.13213205337524414
7.0,codebert_base,0.1333162784576416
8.0,codebert_base,0.1387331485748291
9.0,codebert_base,0.13285088539123535
0.0,albert-xxlarge-v2,0.24199867248535156
1.0,albert-xxlarge-v2,0.24121928215026855
2.0,albert-xxlarge-v2,0.24933290481567383
3.0,albert-xxlarge-v2,0.23362135887145996
4.0,albert-xxlarge-v2,0.2651209831237793
5.0,albert-xxlarge-v2,0.23885560035705566
6.0,albert-xxlarge-v2,0.29105591773986816
7.0,albert-xxlarge-v2,0.24109172821044922
8.0,albert-xxlarge-v2,0.2741825580596924
9.0,albert-xxlarge-v2,0.24386215209960938
0.0,DialoGPT-large,1.003950595855713
1.0,DialoGPT-large,0.8173151016235352
2.0,DialoGPT-large,0.8057565689086914
3.0,DialoGPT-large,0.8210287094116211
4.0,DialoGPT-large,0.7996730804443359
5.0,DialoGPT-large,0.7966716289520264
6.0,DialoGPT-large,0.7915668487548828
7.0,DialoGPT-large,0.7986500263214111
8.0,DialoGPT-large,0.7972416877746582
9.0,DialoGPT-large,0.8119609355926514
0.0,bart-large,0.42968320846557617
1.0,bart-large,0.4273703098297119
2.0,bart-large,0.428678035736084
3.0,bart-large,0.4302835464477539
4.0,bart-large,0.4652585983276367
5.0,bart-large,0.4275026321411133
6.0,bart-large,0.4360673427581787
7.0,bart-large,0.4940981864929199
8.0,bart-large,0.4300713539123535
9.0,bart-large,0.4304370880126953
0.0,gpt2-xl,1.7708311080932617
1.0,gpt2-xl,1.639338731765747
2.0,gpt2-xl,1.6820259094238281
3.0,gpt2-xl,1.668511152267456
4.0,gpt2-xl,1.6560428142547607
5.0,gpt2-xl,1.586125373840332
6.0,gpt2-xl,1.6300511360168457
7.0,gpt2-xl,1.6900701522827148
8.0,gpt2-xl,1.6628966331481934
9.0,gpt2-xl,1.6496260166168213
t5-3B,0,3.0495712757110596
t5-3B,1,2.9870500564575195
t5-3B,2,3.0777833461761475
t5-3B,3,2.876830577850342
t5-3B,4,2.8188841342926025
t5-3B,5,3.018829822540283
t5-3B,6,3.0083141326904297
t5-3B,7,2.9100263118743896
t5-3B,8,3.019085168838501
t5-3B,9,3.0213701725006104

