action,module_idx,num_modules,cold_start_time,exec_time,input_shape,input_bytes,file_size,send_time
cold_start,0,5,0.05681014060974121,0.0007977485656738281,[1],72,15644185,0.0001404285430908203
cold_start,1,5,0.004340648651123047,0.0011188983917236328,[1],72,2116038,7.05718994140625e-05
cold_start,2,5,2.0839321613311768,0.2817370891571045,[1],72,805546509,0.0002987384796142578
cold_start,3,5,0.17533159255981445,0.019927501678466797,[1],72,67127852,3.743171691894531e-05
cold_start,4,5,0.0011355876922607422,0.00046825408935546875,[1],72,1854,9.5367431640625e-06
cold_start,0,5,0.0376429557800293,0.0012309551239013672,[1],72,15644597,0.0001423358917236328
cold_start,1,5,0.004728794097900391,0.0010251998901367188,[1],72,2116140,7.43865966796875e-05
cold_start,2,5,2.046353340148926,0.21001172065734863,[1],72,805549529,0.00031495094299316406
cold_start,3,5,0.17536687850952148,0.0216219425201416,[1],72,67127852,3.7670135498046875e-05
cold_start,4,5,0.0011935234069824219,0.0004551410675048828,[1],72,1956,9.775161743164062e-06
cold_start,0,5,0.04565858840942383,0.0008616447448730469,[1],72,15644661,0.00013947486877441406
cold_start,1,5,0.0033915042877197266,0.0009791851043701172,[1],72,2116142,4.673004150390625e-05
cold_start,2,5,2.0409631729125977,0.20416808128356934,[1],72,805549561,0.00029850006103515625
cold_start,3,5,0.17593884468078613,0.018703699111938477,[1],72,67127854,3.743171691894531e-05
cold_start,4,5,0.0012655258178710938,0.0006706714630126953,[1],72,2022,1.049041748046875e-05
cold_start,0,5,0.04116964340209961,0.00079345703125,[1],72,15644673,0.00014090538024902344
cold_start,1,5,0.006862640380859375,0.0010182857513427734,[1],72,2116142,7.104873657226562e-05
cold_start,2,5,2.0468244552612305,0.1956336498260498,[1],72,805549561,0.0002932548522949219
cold_start,3,5,0.17525219917297363,0.019628286361694336,[1],72,67127854,3.6716461181640625e-05
cold_start,4,5,0.0011987686157226562,0.001903533935546875,[1],72,2022,1.049041748046875e-05
cold_start,0,5,0.0435032844543457,0.004639625549316406,[1],72,15644673,0.00013947486877441406
cold_start,1,5,0.004647731781005859,0.001005411148071289,[1],72,2116142,0.00013399124145507812
cold_start,2,5,2.046598196029663,0.19288921356201172,[1],72,805549561,0.0002923011779785156
cold_start,3,5,0.17467212677001953,0.0182344913482666,[1],72,67127854,3.743171691894531e-05
cold_start,4,5,0.0011525154113769531,0.0004830360412597656,[1],72,2022,9.298324584960938e-06
cold_start,0,5,0.04523944854736328,0.000888824462890625,[1],72,15644673,0.00013971328735351562
cold_start,1,5,0.0044324398040771484,0.0009512901306152344,[1],72,2116142,4.7206878662109375e-05
cold_start,2,5,2.0487804412841797,0.1986086368560791,[1],72,805549561,0.0002930164337158203
cold_start,3,5,0.174957275390625,0.01870894432067871,[1],72,67127854,3.695487976074219e-05
cold_start,4,5,0.0010793209075927734,0.0004546642303466797,[1],72,2022,8.58306884765625e-06
cold_start,0,5,0.04230499267578125,0.0007736682891845703,[1],72,15644673,0.0001404285430908203
cold_start,1,5,0.00446629524230957,0.0009887218475341797,[1],72,2116142,6.985664367675781e-05
cold_start,2,5,2.0521183013916016,0.19219040870666504,[1],72,805549561,0.00029540061950683594
cold_start,3,5,0.17450976371765137,0.01966404914855957,[1],72,67127854,3.743171691894531e-05
cold_start,4,5,0.0010976791381835938,0.00044274330139160156,[1],72,2022,9.059906005859375e-06
cold_start,0,5,0.033911705017089844,0.0007829666137695312,[1],72,15644673,0.00014162063598632812
cold_start,1,5,0.003083944320678711,0.0009276866912841797,[1],72,2116142,3.7670135498046875e-05
cold_start,2,5,2.04303240776062,0.1925640106201172,[1],72,805549561,0.00029397010803222656
cold_start,3,5,0.17557859420776367,0.018705368041992188,[1],72,67127854,3.814697265625e-05
cold_start,4,5,0.0013136863708496094,0.00046181678771972656,[1],72,2022,1.0728836059570312e-05
cold_start,0,5,0.0420682430267334,0.0009710788726806641,[1],72,15644673,0.0001480579376220703
cold_start,1,5,0.004575252532958984,0.0009801387786865234,[1],72,2116142,7.510185241699219e-05
cold_start,2,5,2.044839859008789,0.19629645347595215,[1],72,805549561,0.00029277801513671875
cold_start,3,5,0.1751408576965332,0.017220497131347656,[1],72,67127854,3.814697265625e-05
cold_start,4,5,0.001257181167602539,0.0004887580871582031,[1],72,2022,1.0013580322265625e-05
cold_start,0,5,0.03281283378601074,0.0008637905120849609,[1],72,15644673,0.00013947486877441406
cold_start,1,5,0.0028705596923828125,0.0009164810180664062,[1],72,2116142,3.790855407714844e-05
