gpu_process_memory_usage,gpu_process_compute_usage,host_process_compute_usage,host_process_memory_usage,host_model_compute_usage,host_model_memory_usage,gpu_exec_memory_usage,gpu_exec_compute_usage,model_name
779104304,0.06,0.08827580681818183,910713554,0,890450058,318442998.0,0.5715973951358786,albert_xxlarge_v2
1761688339,0.04,0.29301154545454533,1645909149,0,1625830197,876399820.0,0.8953651355161004,bart_large
8193171512,0.06,0.32089421590909073,2074162529,0,11408097021,4771387801.0,0.8492484423585702,t5_3B
5208217770,0.04,0.3248448750000001,1403351781,0,6282033981,3188350885.0,0.7945182168825095,gpt2_xl
777491509,0.0,0.056027454545454713,1651466671,0,498965601,84934656.0,0.5001360846344745,codebert_base
2982309019,0.04,0.07742389772727254,1476006074,0,3134799287,1654879091.0,0.8038841994601202,DialoGPT_large
